Year,Fatal Airliner Incidents,Fatal Airliner Casualties,Hijacking Incidents,Hijacking Casualties,Bombing Incidents,Bombing Casualties,Worldwide passengers carried
2016,17,258,2,0,1,1,
2015,14,186,0,0,1,224,3440862893
2014,20,691,3,0,0,0,3217848503
2013,29,265,1,0,0,0,3048275073
2012,23,475,3,2,0,0,2894054972
2011,36,524,1,0,0,0,2786953830
2010,32,943,1,0,0,0,2628261258
2009,31,760,5,0,1,0,2249728546
2008,33,588,3,0,0,0,2208218737
2007,31,773,6,0,0,0,2209136496
2006,33,905,3,0,0,0,2072995909
2005,40,1075,1,0,0,0,1970142144
2004,34,459,4,0,2,90,1888695284
2003,33,703,9,0,0,0,1665309283
2002,43,1112,10,2,0,0,1627404873
2001,35,801,11,268,1,0,1655230214
2000,43,1148,27,5,0,0,1674064712
1999,44,478,13,2,0,0,1562256300
1998,45,1191,14,1,0,0,1466961780
1997,46,1162,12,1,1,1,1455104192
1996,57,1843,17,125,0,0,1390963704
1995,58,1207,12,1,0,0,1302891640
1994,58,1452,27,8,1,1,1233233404
1993,51,1134,36,4,0,0,1142265216
1992,60,1544,11,4,0,0,1145436692
1991,54,1148,20,6,0,0,1133228204
1990,48,702,38,86,0,0,1024976616
1989,66,1554,15,1,4,277,983208800
1988,59,1147,15,12,2,287,953896012
1987,45,1109,12,2,1,115,904838104
1986,45,817,16,87,2,18,842594296
1985,42,2010,26,65,4,330,783198104
1984,39,676,27,33,2,0,732410288
1983,36,862,35,12,1,112,685101596
1982,37,1175,31,1,1,1,654482108
1981,46,907,31,6,3,0,640619400
1980,48,1300,37,1,1,0,641872888
1979,77,1776,23,0,3,5,648400600
1978,63,1259,26,4,2,1,576090004
1977,61,1652,32,114,0,0,513269292
1976,66,1627,16,15,3,154,471773396
1975,56,1191,19,2,3,5,432276500
1974,68,1994,20,83,4,88,421145200
1973,69,2028,22,88,1,58,401571800
1972,72,2373,59,25,6,108,366588352
1971,51,1433,54,8,3,50,331604904
1970,78,1475,77,7,4,48,310441392
